開放粵語字典（粵拼版）

© 2013年 kaifangcidian.com
網址：http://www.kaifangcidian.com
本字典以創作共用“署名 3.0”許可協議授權發佈（詳見 http://creativecommons.org/licenses/by/3.0/）
最後更新於2013年1月22日

［繁體字］	［簡體字］	［粵拼］
遵	遵	zeon1/zyun1
儘	尽	zeon2
準	准	zeon2
隼	隼	zeon2
准	准	zeon2
峻	峻	zeon3
縉	缙	zeon3
進	进	zeon3
晉	晋	zeon3
駿	骏	zeon3
俊	俊	zeon3
竣	竣	zeon3
盡	尽	zeon6
燼	烬	zeon6
卒	卒	zeot1
怵	怵	zeot1
黜	黜	zeot1
吱	吱	zi1
支	支	zi1
枝	枝	zi1
姿	姿	zi1
咨	咨	zi1
滋	滋	zi1
孜	孜	zi1
茲	兹	zi1
脂	脂	zi1
輜	辎	zi1
肢	肢	zi1
芝	芝	zi1
齜	龇	zi1
諮	谘	zi1
之	之	zi1
知	知	zi1
貲	赀	zi1
資	资	zi1
蜘	蜘	zi1
淄	淄	zi1
氏	氏	zi1
鼒	鼒	zi1
止	止	zi2
只	只	zi2
子	子	zi2
紙	纸	zi2
旨	旨	zi2
紫	紫	zi2
址	址	zi2
籽	籽	zi2
滓	滓	zi2
梓	梓	zi2
咫	咫	zi2
姊	姊	zi2
仔	仔	zi2
祉	祉	zi2
酯	酯	zi2
趾	趾	zi2
芷	芷	zi2
秭	秭	zi2
指	指	zi2
躓	踬	zi3
致	致	zi3
輊	轾	zi3
至	至	zi3
緻	致	zi3
質	质	zi3
誌	志	zi3
志	志	zi3
置	置	zi3
摯	挚	zi3
智	智	zi3
痣	痣	zi3
恣	恣	zi3/ci3
耜	耜	zi6
祀	祀	zi6
巳	巳	zi6
雉	雉	zi6
字	字	zi6
痔	痔	zi6
俟	俟	zi6
治	治	zi6
自	自	zi6
稚	稚	zi6
飼	饲	zi6
伺	伺	zi6
嗣	嗣	zi6
峙	峙	zi6/ci5
豸	豸	zi6/zaai6
寺	寺	zi6/zi2
鯽	鲫	zik1
稷	稷	zik1
職	职	zik1
陟	陟	zik1
積	积	zik1
織	织	zik1
跡	迹	zik1
績	绩	zik1
即	即	zik1
漬	渍	zik1/zi3
瘠	瘠	zik3
炙	炙	zik3/zek3
脊	脊	zik3/zek3
植	植	zik6
藉	藉	zik6
值	值	zik6
席	席	zik6
直	直	zik6
殖	殖	zik6
夕	夕	zik6
寂	寂	zik6
矽	矽	zik6
汐	汐	zik6
籍	籍	zik6
藉	借	zik6/ze3
借	借	zik6/ze3
蓆	蓆	zik6/zek6
譫	谵	zim1
瞻	瞻	zim1
占	占	zim1
尖	尖	zim1
沾	沾	zim1
詹	詹	zim1
霑	霑	zim1
佔	占	zim3
漸	渐	zim6
箋	笺	zin1
煎	煎	zin1
氈	毡	zin1
羶	膻	zin1
展	展	zin2
碾	碾	zin2
輾	辗	zin2
翦	翦	zin2
剪	剪	zin2
闡	阐	zin2/cin2
戰	战	zin3
濺	溅	zin3
箭	箭	zin3
餞	饯	zin3
薦	荐	zin3
顫	颤	zin3
賤	贱	zin6
貞	贞	zing1
正	正	zing1
旌	旌	zing1
晶	晶	zing1
精	精	zing1
禎	祯	zing1
鉦	钲	zing1
徵	征	zing1
菁	菁	zing1
偵	侦	zing1
蒸	蒸	zing1
睛	睛	zing1
烝	烝	zing1
癥	症	zing1
怔	怔	zing1
征	征	zing1
整	整	zing2
井	井	zing2/zeng2
症	症	zing3
正	正	zing3
政	政	zing3
證	证	zing3
靖	靖	zing6
淨	净	zing6
靜	静	zing6
阱	阱	zing6/zeng6
褶	褶	zip3
摺	折	zip3
楫	楫	zip3
囁	嗫	zip3
浹	浃	zip3
接	接	zip3
輒	辄	zip3
唧	唧	zit1
癤	疖	zit3
蜇	蜇	zit3
節	节	zit3
浙	浙	zit3
櫛	栉	zit3
婕	婕	zit3
折	折	zit3
哲	哲	zit3
截	截	zit6
睫	睫	zit6
捷	捷	zit6
朝	朝	ziu1
椒	椒	ziu1
焦	焦	ziu1
招	招	ziu1
礁	礁	ziu1
蕉	蕉	ziu1
沼	沼	ziu2
剿	剿	ziu2
詔	诏	ziu3
照	照	ziu3
召	召	ziu6
趙	赵	ziu6
俎	俎	zo2
左	左	zo2
阻	阻	zo2
佐	佐	zo3
詛	诅	zo3/zo2
唑	唑	zo6
坐	坐	zo6
座	座	zo6
助	助	zo6
灼	灼	zoek3
鵲	鹊	zoek3
嚼	嚼	zoek3
酌	酌	zoek3
雀	雀	zoek3
爵	爵	zoek3
斫	斫	zoek3
著	着	zoek3
桌	桌	zoek3/coek3
勺	勺	zoek3/coek3
著	着	zoek6
著	著	zoek6
蟑	蟑	zoeng1
獐	獐	zoeng1
將	将	zoeng1
章	章	zoeng1
漿	浆	zoeng1
張	张	zoeng1
漳	漳	zoeng1
璋	璋	zoeng1
彰	彰	zoeng1
鄣	鄣	zoeng1
樟	樟	zoeng1
嫜	嫜	zoeng1
獎	奖	zoeng2
槳	桨	zoeng2
蔣	蒋	zoeng2
掌	掌	zoeng2
長	长	zoeng2
漲	涨	zoeng2/zoeng3
帳	帐	zoeng3
賬	账	zoeng3
醬	酱	zoeng3
障	障	zoeng3
仗	仗	zoeng3
將	将	zoeng3
漲	涨	zoeng3
脹	胀	zoeng3
幛	幛	zoeng3
嶂	嶂	zoeng3
瘴	瘴	zoeng3
杖	杖	zoeng6
像	像	zoeng6
象	象	zoeng6
丈	丈	zoeng6
仗	仗	zoeng6
匠	匠	zoeng6
橡	橡	zoeng6
災	灾	zoi1
栽	栽	zoi1
哉	哉	zoi1
崽	崽	zoi2
載	载	zoi2
宰	宰	zoi2
載	载	zoi3
再	再	zoi3
在	在	zoi6
作	作	zok3
昨	昨	zok3/zok6
鑿	凿	zok6
擢	擢	zok6
髒	脏	zong1
樁	桩	zong1
妝	妆	zong1
贓	赃	zong1
裝	装	zong1
莊	庄	zong1
駔	驵	zong2
葬	葬	zong3
壯	壮	zong3
戇	戆	zong3/ngong6
臟	脏	zong6
奘	奘	zong6
藏	藏	zong6
狀	状	zong6
撞	撞	zong6
糟	糟	zou1
遭	遭	zou1
租	租	zou1
祖	祖	zou2
組	组	zou2
藻	藻	zou2
蚤	蚤	zou2
早	早	zou2
澡	澡	zou2
駔	驵	zou2
棗	枣	zou2
灶	灶	zou3
做	做	zou6
皂	皂	zou6
造	造	zou6
慥	慥	zou6/cou3
築	筑	zuk1
足	足	zuk1
竹	竹	zuk1
祝	祝	zuk1
粥	粥	zuk1
捉	捉	zuk1
矚	瞩	zuk1
燭	烛	zuk1
囑	嘱	zuk1
竺	竺	zuk1
鏃	镞	zuk6
鐲	镯	zuk6
族	族	zuk6
逐	逐	zuk6
濁	浊	zuk6
軸	轴	zuk6
續	续	zuk6
妯	妯	zuk6
俗	俗	zuk6
躅	躅	zuk6
宗	宗	zung1
鐘	钟	zung1
終	终	zung1
縱	纵	zung1
盅	盅	zung1
樅	枞	zung1
棕	棕	zung1
鍾	钟	zung1
忠	忠	zung1
鬃	鬃	zung1
螽	螽	zung1
蹤	踪	zung1
中	中	zung1
衷	衷	zung1/cung1
綜	综	zung1/zung3
總	总	zung2
種	种	zung2
腫	肿	zung2
中	中	zung3
縱	纵	zung3
眾	众	zung3
種	种	zung3
粽	粽	zung3/zung2
訟	讼	zung6
重	重	zung6
仲	仲	zung6
誦	诵	zung6
頌	颂	zung6
誅	诛	zyu1
侏	侏	zyu1
諸	诸	zyu1
蛛	蛛	zyu1
銖	铢	zyu1
株	株	zyu1
茱	茱	zyu1
珠	珠	zyu1
豬	猪	zyu1
朱	朱	zyu1
主	主	zyu2
煮	煮	zyu2
蛀	蛀	zyu3
駐	驻	zyu3
著	著	zyu3
炷	炷	zyu3
註	注	zyu3
著	著	zyu3
注	注	zyu3
箸	箸	zyu6
住	住	zyu6
專	专	zyun1
磚	砖	zyun1
顓	颛	zyun1
尊	尊	zyun1
鐫	镌	zyun1/zeon3
鱒	鳟	zyun1/zyun3
纂	纂	zyun2
傳	传	zyun2
轉	转	zyun2
鑽	钻	zyun3
轉	转	zyun3
鑽	钻	zyun3/zyun1
傳	传	zyun6
啜	啜	zyut3
茁	茁	zyut3
咄	咄	zyut3
輟	辍	zyut3
拙	拙	zyut3
掇	掇	zyut3
絕	绝	zyut6
